Callsign 2I0VIM
    32 lines received:
    $$PICO,254,13:16:58,51.36051,2.89041,2913*38
    $$PICO,256,13:19:17,51.34969,2.91347,2787*31
    $$PICO,258,13:21:35,51.34009,2.93360,2659*3E
    $$PICO,260,13:23:53,51.33064,2.95593,2527*3D
    $$PICO,264,13:28:30,51.31265,3.00719,2449*32
    $$PICO,266,13:30:48,51.30297,3.03687,2409*3B
    $$PICO,270,13:35:25,51.28466,3.10104,2208*3A
    $$PICO,276,13:42:20,51.25795,3.19837,2018*38
    $$PICO,278,13:44:39,51.24705,3.22682,1937*3F
    $$PICO,280,13:46:57,51.23610,3.25392,1892*3D
    $$PICO,286,13:53:52,51.20300,3.32876,1657*3D
    $$PICO,298,14:07:42,51.14216,3.47407,1616*39
Callsign G8KHW
    19 lines received:
    $$PICO,176,11:47:02,51.75538,1.96274,3222*3E
    $$PICO,178,11:49:20,51.74439,1.98655,3270*31
    $$PICO,180,11:51:39,51.73316,2.01188,3335*3E
    $$PICO,184,11:56:15,51.71051,2.06907,3362*3B
    $$PICO,200,12:14:42,51.61995,2.26139,3037*37
    $$PICO,204,12:19:19,51.59762,2.31568,2879*38
    $$PICO,214,12:30:51,51.54775,2.43238,2595*3D
    $$PICO,218,12:35:28,51.52902,2.47636,2552*37
    $$PICO,222,12:40:04,51.51204,2.51867,2537*32
    $$PICO,256,13:19:17,51.34969,2.91347,2787*31
    $$PICO,258,13:21:35,51.34009,2.93360,2659*3E
    $$PICO,260,13:23:53,51.33064,2.95593,2527*3D
    $$PICO,262,13:26:12,51.32189,2.98012,2453*3F
    $$PICO,264,13:28:30,51.31265,3.00719,2449*32
    $$PICO,266,13:30:48,51.30297,3.03687,2409*3B
    $$PICO,268,13:33:07,51.29351,3.06851,2290*38
    $$PICO,270,13:35:25,51.28466,3.10104,2208*3A
    $$PICO,266,13:56:10,51.19249,3.35269,1621*34
    $$PICO,292,14:00:47,51.17252,3.40121,1528*3A
Callsign VK5FDRK
    10 lines received:
    $$PICO,120,10:42:28,52.02405,1.27594,1049*33
    $$PICO,122,10:44:46,52.01541,1.30440,1116*38
    $$PICO,144,11:10:08,51.90446,1.57854,1873*3D
    $$PICO,146,11:12:27,51.89721,1.60171,1965*36
    $$PICO,152,11:19:22,51.87372,1.67939,2168*34
    $$PICO,154,11:21:40,51.86420,1.70294,2263*3E
    $$PICO,158,11:26:17,51.84610,1.74366,2452*38
    $$PICO,160,11:28:35,51.83663,1.76379,2539*3E
    $$PICO,162,11:30:53,51.82717,1.78448,2655*34
    $$PICO,164,11:33:12,51.81787,1.80708,2767*3E
Callsign W/VK5FDRK
    1 lines received:
    $$PICO,142,11:07:50,51.91204,1.55725,1818*37
Callsign M6JCX
    43 lines received:
